pattern,match_type,category,psp_or_entity,severity_if_investment_payment,explanation,source
idfcbank,SUFFIX,PERSONAL_PSP,IDFC First Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
indus,SUFFIX,PERSONAL_PSP,IndusInd Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
rbl,SUFFIX,PERSONAL_PSP,RBL Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
fbl,SUFFIX,PERSONAL_PSP,Federal Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
yesg,SUFFIX,PERSONAL_PSP,Yes Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
airtel,SUFFIX,PERSONAL_PSP,Airtel Payments Bank,5,"This is a personal wallet UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
freecharge,SUFFIX,PERSONAL_PSP,Freecharge,5,"This is a personal wallet UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
jio,SUFFIX,PERSONAL_PSP,Jio Payments Bank,5,"This is a personal wallet UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
timecosmos,SUFFIX,PERSONAL_PSP,CRED,5,"This is a personal CRED UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
naviaxis,SUFFIX,PERSONAL_PSP,Navi,5,"This is a personal wallet UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
fam,SUFFIX,PERSONAL_PSP,Fampay,5,"This is a personal wallet UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
superyes,SUFFIX,PERSONAL_PSP,Super.money,5,"This is a personal wallet UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
waicici,SUFFIX,PERSONAL_PSP,WhatsApp Pay,5,"This is a personal WhatsApp Pay UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
wahdfcbank,SUFFIX,PERSONAL_PSP,WhatsApp Pay,5,"This is a personal WhatsApp Pay UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
waaxis,SUFFIX,PERSONAL_PSP,WhatsApp Pay,5,"This is a personal WhatsApp Pay UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
wasbi,SUFFIX,PERSONAL_PSP,WhatsApp Pay,5,"This is a personal WhatsApp Pay UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
