"id","entity","action","direction","suppressors","window","requires_ask","rule_type","severity","explanation","legal_basis"
"MULE_ACCOUNT_REQUEST","\b(?:use\s+your\s+(?:account|bank)|rent\s+your\s+account|receive\s+(?:money|funds|amount)\s+(?:in|on)\s+your\s+account|commission\s+for\s+(?:each|every)\s+transaction)\b","\b(?:commission|percentage|share|paid|earn|transfer|withdraw)\b","FROM_USER","","100","true","MONEY_ROUTING","5","Letting someone route money through your bank account makes you a mule account holder. That is a criminal offence and your account will be frozen.","PMLA 2002; BNS 2023 s.317"
"ACCOUNT_REACTIVATION_FEE","\b(?:reactivat\w*|reopen|unblock|unfreeze|restor\w*)\b","\b(?:pay|fee|charge|amount|rs\.?|inr|₹)\b","FROM_USER","there\s+is\s+no\s+fee|no\s+charge|free\s+of\s+cost|form\s+isr-?\d|submit\s+(?:form|self-attested)|re-?kyc|||registrar\s+and\s+(?:share\s+)?transfer\s+agent|depository\s+participant|\bRTA\b|<DP_CLIENT_ID>|<CDSL_BOID>|<NSDL_BOID>|<FOLIO>|||as\s+per\s+sebi|sebi\s+circular|regulation\s+\d+|<SEBI_CIRCULAR>|companies\s+act|lodr|depositor(?:y|ies)","100","true","FAKE_APP_SIGNATURE","5","A charge to reactivate your own account is not a real product. Brokers reactivate dormant accounts through re-KYC, not payment.","SEBI (Stock Brokers) Regulations 1992"
"OTP_SHARE_REQUEST","\b(?:OTP|O\.T\.P|one\s*time\s*password|CVV|MPIN|PIN|password|passcode)\b","\b(?:share|provide|tell|give|forward|reveal|disclose|read\s+out|type\s+here|send\s+(?:me|us)|confirm\s+(?:the|your))\b","FROM_USER","authenticat\w+[^.!?\n]{0,40}by\s+sending\s+(?:an?\s+)?otp|||(?:send|sent|sending)\s+(?:an?\s+)?otp\s+(?:on|to)\s+(?:your\s+|the\s+)?(?:registered\s+)?(?:mobile|email|phone)|||otp\s+(?:will\s+be|shall\s+be|is|would\s+be)\s+sent|||(?:you\s+will\s+)?receive\s+(?:an?\s+)?otp|||password\s+(?:is|will\s+be|for\s+this\s+(?:file|statement|document|attachment))|||password\s+(?:is\s+)?your\s+pan|pan\s+in\s+(?:upper|capital)|||(?:will\s+)?never\s+(?:ask|call|email|request|share)|do\s+not\s+share\s+your|beware\s+of\s+fraud|report\s+(?:it|any|this)","120","true","CREDENTIAL_THEFT","5","No genuine institution ever asks for an OTP, PIN, CVV or password. Anyone requesting one is attempting to take money from your account.","RBI customer protection circulars; BNS 2023 s.318"
"REMOTE_ACCESS_APP","\b(?:anydesk|teamviewer|quicksupport|airdroid|screen\s*shar(?:e|ing)|remote\s*access)\b","\b(?:install|download|open|start|allow|share|enable)\b","FROM_USER","(?:will\s+)?never\s+(?:ask|call|email|request|share)|do\s+not\s+share\s+your|beware\s+of\s+fraud|report\s+(?:it|any|this)|||do\s+not\s+install|never\s+install","100","true","CREDENTIAL_THEFT","5","Installing a screen-sharing app at a stranger's request hands them live control of your banking and demat sessions. No legitimate support process requires this.","RBI customer protection circulars"
"APK_SIDELOAD","(?:\.apk\b|apk\s*file|unknown\s*source)","\b(?:download|install|update|enable|sideload|get)\b","FROM_USER","play\s*store|app\s*store|official\s+app","100","true","FAKE_APP_SIGNATURE","5","Genuine broking and mutual fund apps are distributed only through the Play Store or App Store. An APK sent to you is how fake trading apps get installed.","SEBI investor advisories on unauthorised trading apps"
"REGULATOR_DEMANDS_PAYMENT","\b(?:sebi|rbi|nse|bse|nsdl|cdsl|income\s*tax|it\s*department|\bED\b|\bCBI\b|customs|police)\b","\b(?:pay|deposit|transfer|remit|send)\b[^.!?\n]{0,30}\b(?:rs\.?|inr|₹|rupees|amount|fine|penalty|fee)\b","FROM_USER","as\s+per\s+sebi|sebi\s+circular|regulation\s+\d+|<SEBI_CIRCULAR>|companies\s+act|lodr|depositor(?:y|ies)|||scores|smartodr|grievance|investor\s+charter|complaint|||registered\s+with\s+sebi|sebi\s+registration","120","true","IMPERSONATION","5","Regulators and exchanges never contact individual investors to demand payment. Any message that does is an impersonation attempt.","BNS 2023 s.204, s.319"
"DIGITAL_ARREST","\b(?:digital\s*arrest|arrest\s*warrant|non[\s\-]*bailable|money\s*laundering\s*case)\b","\b(?:pay|deposit|transfer|remit|verify|cooperate|call|contact|settle)\b","FROM_USER","beware|awareness|advisory|do\s+not\s+fall|fraudsters?\s+(?:are|may)","140","true","COERCION","5","There is no such legal procedure as a digital arrest anywhere in Indian law. Police and central agencies do not interrogate people over video calls or demand money to close a case.","BNS 2023 s.204, s.308; MHA cybercrime advisories"
"SEBI_APPROVED_SCHEME","\b(?:sebi|securities\s*(?:and|&)\s*exchange\s*board)\b[^.!?\n]{0,25}\b(?:approved|certified|authori[sz]ed|guarante+d?|backed|endorsed)\b","\b(?:scheme|plan|product|return|profit|investment|opportunity)\b","UNSPECIFIED","registered\s+(?:with\s+sebi|intermediary)|sebi\s+registration\s+no","80","false","FALSE_AUTHORITY","4","SEBI registers intermediaries; it never approves, certifies or guarantees an investment scheme or its returns. Any claim that SEBI backs a return is false.","SEBI Act 1992; SEBI investor caution list"
"INSIDER_TIP","\b(?:insider|inside)\s+(?:information|news|tip|info)\b|\b(?:operator|jobber)\s+(?:news|tip|call)\b","\b(?:buy|sell|invest|act|trade|position|join|subscribe|pay)\b","UNSPECIFIED","prohibit|offence|illegal|regulation|pit\s+regulations|beware","100","true","MARKET_MANIPULATION","5","Acting on genuine insider information is a criminal offence, and claims of having it are usually bait. Either way, do not engage.","SEBI (Prohibition of Insider Trading) Regulations 2015"
"LOTTERY_WINNER","\b(?:you\s+have\s+won|lucky\s*(?:winner|draw)|selected\s+(?:as|for)\s+winner|prize\s*money|bumper\s*(?:prize|offer))\b","\b(?:claim|pay|deposit|transfer|contact|call|click|share)\b","FROM_USER","beware|awareness|advisory|fraudsters?","120","true","PHISHING_LURE","4","You cannot win a lottery you never entered. The prize is bait for the processing fee they will ask for next.","BNS 2023 s.318; Prize Chits and Money Circulation Schemes (Banning) Act 1978"
"DEMAT_FROZEN_PAY","\b(?:demat|trading|broker(?:age)?|dp)\s+(?:account|a/c)\b[^.!?\n]{0,40}\b(?:frozen|freeze|block(?:ed)?|suspend(?:ed)?|deactivat(?:ed)?|closed|lock(?:ed)?)\b","\b(?:pay|fee|charge|penalty|rs\.?|inr|₹|click|call\s+(?:this|us\s+on)\s+\d)\b","FROM_USER","as\s+per\s+sebi|sebi\s+circular|regulation\s+\d+|<SEBI_CIRCULAR>|companies\s+act|lodr|depositor(?:y|ies)|||registrar\s+and\s+(?:share\s+)?transfer\s+agent|depository\s+participant|\bRTA\b|<DP_CLIENT_ID>|<CDSL_BOID>|<NSDL_BOID>|<FOLIO>|||re-?kyc|form\s+isr-?\d|nomination|there\s+is\s+no\s+fee|no\s+charge|holdings\s+remain\s+safe|liable\s+to\s+be\s+frozen|as\s+per\s+depository\s+rules|suspended\s+for\s+debit|contact\s+your\s+depository\s+participant","140","true","PRESSURE_TACTIC","4","Messages claiming your demat account is frozen are designed to panic you into acting. Check the status by logging into your broker directly, never through a link in a message.","SEBI (Depositories and Participants) Regulations 2018"
"KYC_EXPIRY_URGENT","\bk\.?y\.?c\b[^.!?\n]{0,30}\b(?:expire|expiry|expired|suspend|block|freeze|deactivat)\w*\b","\b(?:click|pay|fee|charge|immediately|within\s+\d+\s*(?:hour|day)|today|urgent)\b","FROM_USER","as\s+per\s+sebi|sebi\s+circular|regulation\s+\d+|<SEBI_CIRCULAR>|companies\s+act|lodr|depositor(?:y|ies)|||registrar\s+and\s+(?:share\s+)?transfer\s+agent|depository\s+participant|\bRTA\b|<DP_CLIENT_ID>|<CDSL_BOID>|<NSDL_BOID>|<FOLIO>|||at\s+your\s+convenience|re-?kyc|periodically|kra|through\s+(?:your|the)\s+(?:broker|app|portal|registrar)|console|log\s*in\s+to","140","true","PRESSURE_TACTIC","4","Urgent KYC-expiry messages with a deadline and a link are a standard phishing template. Regulated entities give notice through your registered contact and their own app.","SEBI KYC (KRA) Regulations 2011"
"UNCLAIMED_DIVIDEND_CLAIM","\b(?:unclaimed|unpaid|pending)\s+(?:dividend|interest|amount|payout)\b","\b(?:click|claim\s+now|verify|pay|fee|charge|link|apply\s+here|process\s+now)\b","FROM_USER","iepf|investor\s+education\s+and\s+protection\s+fund|form\s+iepf-?5|companies\s+act|||registrar\s+and\s+(?:share\s+)?transfer\s+agent|depository\s+participant|\bRTA\b|<DP_CLIENT_ID>|<CDSL_BOID>|<NSDL_BOID>|<FOLIO>|||no\s+fee\s+is\s+payable|unpaid\s+dividend\s+account|abeyance","140","true","PHISHING_LURE","4","Unclaimed dividends are genuinely common in India, which is exactly why fraudsters use this hook. Real unclaimed amounts are claimed through the registrar or IEPF, never through a link.","Companies Act 2013 s.124-125; SEBI circulars on unclaimed amounts"
"URGENCY_WITH_DEMAND","\b(?:hurry|last\s*chance|final\s*(?:call|notice|reminder)|limited\s*(?:time|seat|slot|offer)|only\s*\d{1,2}\s*(?:seat|slot)s?\s*(?:left|remaining)|act\s+now|जल्दी)\b","\b(?:pay|transfer|deposit|invest|join|click|register|book|subscribe)\b","FROM_USER","e-?voting|record\s+date|book\s+closure|annual\s+general\s+meeting|agm|egm|postal\s+ballot|cut-?off\s+date|tendering\s+period|issue\s+closes|||as\s+per\s+sebi|sebi\s+circular|regulation\s+\d+|<SEBI_CIRCULAR>|companies\s+act|lodr|depositor(?:y|ies)","120","true","PRESSURE_TACTIC","3","Artificial time pressure is used to stop you from checking. A genuine investment opportunity survives you taking a day to verify it.","SEBI investor caution advisories"
"VIP_GROUP_INVITE","\b(?:vip|premium|exclusive|paid)\s+(?:group|channel|batch|club|community)\b","\b(?:join|add|invite|subscribe|enrol|enroll|register)\b","FROM_USER","","100","true","SOCIAL_ENGINEERING","3","Paid VIP stock-tip groups are the most common entry point into securities fraud. Registered advisers do not run anonymous tip groups.","SEBI (Investment Advisers) Regulations 2013, Reg 3"
"JOIN_TELEGRAM_WHATSAPP","\b(?:telegram|whatsapp|wa\.me|t\.me)\b","\b(?:join|add|click)\b[^.!?\n]{0,25}\b(?:group|channel|link|now)\b","FROM_USER","whatsapp\s+(?:us|support|helpline)|customer\s+care|official\s+whatsapp","100","true","SOCIAL_ENGINEERING","3","Investment advice delivered through an anonymous chat group has no regulatory accountability. You cannot complain to SEBI about someone you cannot identify.","SEBI (Investment Advisers) Regulations 2013"
"PROFIT_SHARING_COPY_TRADE","\b(?:copy\s*trad(?:e|ing)|mirror\s*trad(?:e|ing)|handle\s+your\s+account|manage\s+your\s+(?:trading|demat)\s+account|profit\s*sharing)\b","\b(?:\d{1,3}\s*%|profit|return|basis|share|give\s+me|hand\s+over)\b","FROM_USER","portfolio\s+manager|registered\s+with\s+sebi|inp\d{9}","100","true","UNREGISTERED_OFFER","4","Handing account control to someone for a share of profits is unregistered portfolio management. If they lose your money you have no regulatory recourse.","SEBI (Portfolio Managers) Regulations 2020, Reg 3"
"NO_KYC_NO_DOCUMENT","\b(?:no\s*kyc|without\s*kyc|no\s*document|without\s*pan|no\s*pan\s*(?:required|needed)|kyc\s*not\s*required)\b","\b(?:invest|join|start|open|trade|deposit|sign\s*up|register)\b","FROM_USER","as\s+per\s+sebi|sebi\s+circular|regulation\s+\d+|<SEBI_CIRCULAR>|companies\s+act|lodr|depositor(?:y|ies)|||beware|advisory|mandatory","100","true","UNREGISTERED_OFFER","4","Every regulated investment in India requires KYC and PAN. An offer that skips them is outside the regulated system entirely.","SEBI KYC (KRA) Regulations 2011; PMLA 2002"
