"code","pattern","safe_context","rule_type","severity","explanation","legal_basis"
"DEMAT_FROZEN_PAY","(?:demat|trading|broker(?:age)?|dp)[^.!?\n]{0,20}(?:account|a\/c)[^.!?\n]{0,40}(?:frozen|freeze|block(?:ed)?|suspend(?:ed)?|deactivat(?:ed)?|closed|lock(?:ed)?)","as\s+per\s+sebi\s+(?:circular|regulation)|re-?kyc\s+with\s+your\s+depository\s+participant|contact\s+your\s+depository\s+participant|may\s+be\s+frozen\s+if|as\s+per\s+depository\s+rules|suspended\s+for\s+debit|liable\s+to\s+be\s+frozen|holdings\s+remain\s+safe|existing\s+holdings|unfreeze\s+the\s+folio|form\s+isr-?\d|submit\s+form|there\s+is\s+no\s+fee|no\s+charge|registrar\s+and\s+(?:share\s+)?transfer\s+agent","PRESSURE_TACTIC","4","Messages claiming your demat account is frozen are designed to panic you into acting. Check the status by logging into your broker directly, never through a link in a message.","SEBI (Depositories and Participants) Regulations 2018"
"KYC_EXPIRY_URGENT","(?:kyc|k\.y\.c)[^.!?\n]{0,30}(?:expire|expiry|expired|update|pending|incomplete|verify|suspend)[^.!?\n]{0,40}(?:within|before|immediately|urgent|today|24\s*hour|48\s*hour|turant)","registrar\s+and\s+(?:share\s+)?transfer\s+agent|depository\s+participant|as\s+per\s+sebi\s+circular|kyc\s+(?:details\s+)?with\s+your\s+(?:dp|depository|broker)|at\s+your\s+convenience|kindly\s+update\s+your\s+kyc\s+(?:details\s+)?with","PRESSURE_TACTIC","4","Urgent KYC-expiry messages with a deadline and a link are a standard phishing template. Regulated entities give notice through your registered contact and their own app, not a countdown.","SEBI KYC (KRA) Regulations 2011"
"UNCLAIMED_DIVIDEND_CLAIM","(?:unclaimed|pending|unpaid|due)[^.!?\n]{0,20}(?:dividend|interest|refund|amount|payout)[^.!?\n]{0,50}(?:click|claim|link|apply|verify|update|process)","iepf|investor\s+education\s+and\s+protection\s+fund|form\s+iepf-?5|registrar\s+and\s+(?:share\s+)?transfer\s+agent|companies\s+act","PHISHING_LURE","4","Unclaimed dividends are genuinely common in India, which is exactly why fraudsters use this hook. Real unclaimed amounts are claimed through the company registrar or IEPF, never through a link in a message.","Companies Act 2013 s.124-125 (IEPF); SEBI circulars on unclaimed amounts"
"SEBI_APPROVED_SCHEME","(?:sebi|securities\s*(?:and|&)\s*exchange\s*board)[^.!?\n]{0,25}(?:approved|certified|authorized|authorised|guarante+d?|backed|endorsed)[^.!?\n]{0,25}(?:scheme|plan|product|return|profit|investment)","","FALSE_AUTHORITY","4","SEBI registers intermediaries; it never approves, certifies or guarantees an investment scheme or its returns. Any claim that SEBI backs a return is false.","SEBI Act 1992; SEBI investor caution list"
"REGULATOR_DEMANDS_PAYMENT","(?:sebi|rbi|nse|bse|nsdl|cdsl|income\s*tax|it\s*department|ed|cbi|customs|police)[^.!?\n]{0,60}(?:pay|deposit|transfer|remit|send)[^.!?\n]{0,30}(?:rs|inr|₹|rupees|amount|fine|penalty|fee)","","IMPERSONATION","5","Regulators and exchanges never contact individual investors to demand payment. Any message that does is an impersonation attempt.","BNS 2023 s.204 (impersonating a public servant), s.319 (cheating by personation)"
"DIGITAL_ARREST","(?:digital\s*arrest|arrest\s*warrant|non[\s\-]*bailable|money\s*laundering\s*case|your\s*(?:aadhaar|account)[^.!?\n]{0,20}(?:is\s*)?(?:used|involved)[^.!?\n]{0,20}(?:in\s*)?(?:crime|illegal|laundering))","","COERCION","5","There is no such legal procedure as a digital arrest anywhere in Indian law. Police and central agencies do not interrogate people over video calls or demand money to close a case.","BNS 2023 s.204, s.308 (extortion); MHA cybercrime advisories"
"OTP_SHARE_REQUEST","(?:share|provide|tell|give|forward|reveal|disclose|send\s+(?:me|us)|read\s+out|confirm\s+(?:the|your))[^.!?\n]{0,20}(?:the\s+|your\s+|me\s+the\s+)?(?:otp|o\.t\.p|one\s*time\s*password|cvv|mpin|pin|password)|(?:otp|pin|cvv|password)\s*(?:ko\s+)?(?:share|batao|bataiye|bhejo|send\s+kar)|what\s+is\s+(?:the\s+|your\s+)?(?:otp|pin|cvv)|(?:otp|pin)\s+(?:number\s+)?(?:kya|bhejiye|chahiye)","authenticat\w+[^.!?\n]{0,40}by\s+sending\s+(?:an?\s+)?otp|send(?:ing|s)?\s+(?:an?\s+)?otp\s+(?:on|to)\s+(?:your\s+|the\s+)?(?:registered\s+)?(?:mobile|email|phone|number)|otp\s+(?:will\s+be|shall\s+be|is|would\s+be)\s+sent|(?:you\s+will\s+)?receive\s+(?:an?\s+)?otp|otp\s+(?:sent|delivered)\s+to\s+your|otp\s+(?:based\s+)?authenticat|never\s+share\s+your\s+(?:otp|pin|password)","CREDENTIAL_THEFT","5","No genuine institution ever asks for an OTP, PIN, CVV or password. Anyone requesting one is attempting to take money from your account.","RBI customer protection circulars; BNS 2023 s.318"
"REMOTE_ACCESS_APP","(?:anydesk|teamviewer|quicksupport|airdroid|screen\s*shar(?:e|ing)|remote\s*access)[^.!?\n]{0,50}(?:install|download|open|start|allow)","","CREDENTIAL_THEFT","5","Installing a screen-sharing app at a stranger's request hands them live control of your banking and demat sessions. No legitimate support process requires this.","RBI customer protection circulars"
"APK_SIDELOAD","(?:download|install|update)[^.!?\n]{0,40}(?:\.apk|apk\s*file|from\s*this\s*link|outside\s*play\s*store|enable\s*unknown\s*source)","","FAKE_APP_SIGNATURE","5","Genuine broking and mutual fund apps are distributed only through the Play Store or App Store. An APK sent over chat is how fake trading apps get installed.","SEBI investor advisories on unauthorised trading apps"
"URGENCY_DEADLINE","(?:hurry|last\s*chance|final\s*(?:call|notice|reminder)|expires?\s*(?:today|soon|in\s*\d+\s*(?:hour|minute))|limited\s*(?:time|seat|slot|offer)|only\s*\d{1,2}\s*(?:seat|slot|hour|minute)s?\s*(?:left|remaining)|जल्दी)|(?:urgent(?:ly)?|immediately|turant|right\s+now|within\s+\d+\s*(?:hour|minute)s?)[^.!?\n]{0,40}(?:pay|transfer|deposit|remit|send\s+(?:me|us|money)|share|click|verify\s+your|confirm\s+your|update\s+your\s+bank|call\s+(?:this|the)\s+number)|(?:pay|transfer|deposit|remit|share\s+the|click\s+(?:here|this|the\s+link))[^.!?\n]{0,30}(?:urgent(?:ly)?|immediately|turant|right\s+now|within\s+\d+\s*(?:hour|minute)s?)","e-?voting|remote\s+voting|record\s+date|book\s+closure|annual\s+general\s+meeting|extra-?ordinary\s+general\s+meeting|postal\s+ballot|cut-?off\s+date|agm|egm|last\s+date\s+to\s+cast\s+your\s+vote|tendering\s+period|issue\s+closes|(?:this\s+)?link\s+(?:will\s+)?expires?\s+in\s+\d+\s*(?:minute|hour)|password\s+reset|reset\s+your\s+password|did\s+not\s+request|as\s+per\s+sebi|regulation\s+\d+|sebi\s+circular|re-?kyc|kyc\s+is\s+due|periodically\s+updated|at\s+your\s+convenience|report\s+(?:it|any|this)|contact\s+your\s+(?:depository|dp|broker)|notify\s+(?:us|your)|will\s+never\s+(?:ask|call|email)","PRESSURE_TACTIC","3","Artificial time pressure is used to stop you from checking. A genuine investment opportunity survives you taking a day to verify it.","SEBI investor caution advisories"
"PERSONAL_ACCOUNT_INVESTMENT","(?:transfer|send|deposit|pay|remit)[^.!?\n]{0,40}(?:to\s*)?(?:my|his|her|this|below|following)[^.!?\n]{0,20}(?:personal\s*)?(?:account|upi|number|a\/c|gpay|phonepe|paytm)","","MONEY_ROUTING","5","Investment money must go to the intermediary's own designated bank account, never to an individual's personal UPI or account. This is the single clearest sign of fraud.","SEBI circular on UPI mechanism for registered intermediaries (effective 1 Oct 2025)"
"PROFIT_SCREENSHOT_PROOF","(?:profit|earning|payout|withdrawal)[^.!?\n]{0,20}(?:screenshot|proof|receipt|slip)|(?:screenshot|proof)[^.!?\n]{0,25}(?:of\s*)?(?:profit|earning|payout)","","SOCIAL_ENGINEERING","3","Profit screenshots are trivially faked and prove nothing. They are shown to create fear of missing out.","SEBI (PFUTP) Regulations 2003, Reg 4(2)(k)"
"FOREX_BINARY_SCHEME","(?:forex|binary\s*option|crypto\s*arbitrage|f\s*&\s*o\s*doubling|commodity\s*jackpot)[^.!?\n]{0,40}(?:guarante+d?|assured|fixed|daily\s*profit|high\s*return|double)","","UNREGULATED_PRODUCT","5","Retail forex and binary options trading on overseas electronic platforms is prohibited for Indian residents. There is no recovery route if you lose money there.","FEMA 1999; RBI Alert List of unauthorised forex platforms"
"LOTTERY_WINNER","(?:congratulation|you\s*have\s*won|lucky\s*(?:winner|draw)|selected\s*(?:as|for)\s*winner|prize\s*money|bumper\s*(?:prize|offer))","","PHISHING_LURE","4","You cannot win a lottery you never entered. The prize is bait for the processing fee they will ask for next.","BNS 2023 s.318 (cheating); Prize Chits and Money Circulation Schemes (Banning) Act 1978"
"PROFIT_SHARING_COPY_TRADE","(?:copy\s*trad(?:e|ing)|mirror\s*trad(?:e|ing)|handle\s*your\s*account|manage\s*your\s*(?:trading|demat)\s*account|profit\s*sharing)[^.!?\n]{0,40}(?:\d{1,3}\s*%|profit|return|basis)","","UNREGISTERED_OFFER","4","Handing account control to someone for a share of profits is unregistered portfolio management. If they lose your money you have no regulatory recourse.","SEBI (Portfolio Managers) Regulations 2020, Reg 3 (registration required)"
"ACCOUNT_REACTIVATION_FEE","(?:reactivat|reopen|unblock|unfreeze|restor)\w*[^.!?\n]{0,40}(?:account|demat|folio)[^.!?\n]{0,50}(?:pay|fee|charge|rs|inr|₹|amount)","","FAKE_APP_SIGNATURE","5","A charge to reactivate your own account is not a real product. Brokers reactivate dormant accounts through re-KYC, not payment.","SEBI (Stock Brokers) Regulations 1992"
"MULE_ACCOUNT_REQUEST","(?:use\s*your\s*(?:account|bank)|receive\s*(?:money|funds|amount)[^.!?\n]{0,25}(?:in|on)\s*your\s*account|commission\s*for\s*(?:each|every)\s*transaction|rent\s*your\s*account)","","MONEY_ROUTING","5","Letting someone route money through your bank account makes you a mule account holder. That is a criminal offence and your account will be frozen.","PMLA 2002; BNS 2023 s.317 (receiving stolen property)"
"IMPERSONATED_SUPPORT_NUMBER","(?:customer\s*care|helpline|support|toll\s*free)[^.!?\n]{0,25}(?:number|no\.?)[^.!?\n]{0,25}(?:\+?91[\s\-]?)?[6-9]\d{9}","toll\s*free|1800[\s-]?\d{2}[\s-]?\d{2}[\s-]?\d{2}|helpdesk@|investor(?:s)?@|grievance","IMPERSONATION","3","Fake customer-care numbers are seeded so victims call the fraudster. Always take a helpline number from the institution's own website or app, never from a message or a search result.","SEBI and RBI investor advisories"
"NO_KYC_NO_DOCUMENT","(?:no\s*kyc|without\s*kyc|no\s*document|without\s*pan|no\s*pan\s*(?:required|needed)|kyc\s*not\s*required)","as\s+per\s+sebi|regulation|circular","UNREGISTERED_OFFER","4","Every regulated investment in India requires KYC and PAN. An offer that skips them is outside the regulated system entirely.","SEBI KYC (KRA) Regulations 2011; PMLA 2002"
